epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1,lr
1,0.306411,0.856557,0.30356,0.908497,0.936709,0.891566,0.91358,0.00029265847744427303
2,0.124571,0.959016,0.623508,0.875817,0.910256,0.855422,0.881988,0.0002713525491562421
3,0.094635,0.971311,0.713902,0.888889,0.866667,0.939759,0.901734,0.00023816778784387096
4,0.074281,0.979508,0.419775,0.908497,0.879121,0.963855,0.91954,0.0001963525491562421
5,0.034984,0.983607,0.331023,0.895425,0.894118,0.915663,0.904762,0.00015
6,0.019787,0.991803,0.362047,0.908497,0.948052,0.879518,0.9125,0.0001036474508437579
1,0.304955,0.864754,0.296768,0.937931,0.926829,0.962025,0.944099,0.00029265847744427303
2,0.129312,0.954918,0.320628,0.917241,0.91358,0.936709,0.925,0.0002713525491562421
3,0.080485,0.97541,0.411376,0.903448,0.922078,0.898734,0.910256,0.00023816778784387096
4,0.066002,0.983607,0.52728,0.910345,0.958333,0.873418,0.913907,0.0001963525491562421
5,0.039045,0.983607,0.799343,0.827586,0.982143,0.696203,0.814815,0.00015
6,0.061798,0.979508,0.434965,0.903448,0.985075,0.835443,0.90411,0.0001036474508437579
1,0.31343,0.852459,0.252235,0.910345,0.971429,0.860759,0.912752,0.00029265847744427303
2,0.100203,0.97541,0.269095,0.931034,0.948052,0.924051,0.935897,0.0002713525491562421
3,0.036074,0.987705,0.377923,0.910345,0.923077,0.911392,0.917197,0.00023816778784387096
4,0.077936,0.983607,0.278941,0.944828,0.973333,0.924051,0.948052,0.0001963525491562421
5,0.031939,0.987705,0.260091,0.931034,0.905882,0.974684,0.939024,0.00015
6,0.024566,0.991803,0.278058,0.924138,0.959459,0.898734,0.928105,0.0001036474508437579
7,0.007736,1.0,0.293533,0.931034,0.972603,0.898734,0.934211,6.183221215612905e-05
8,0.01722,0.991803,0.297078,0.931034,0.96,0.911392,0.935065,2.86474508437579e-05
9,0.011776,0.995902,0.292885,0.924138,0.972222,0.886076,0.927152,7.341522555726971e-06
1,0.31343,0.852459,0.252235,0.910345,0.971429,0.860759,0.912752,0.00029265847744427303
2,0.100203,0.97541,0.269095,0.931034,0.948052,0.924051,0.935897,0.0002713525491562421
3,0.036074,0.987705,0.377923,0.910345,0.923077,0.911392,0.917197,0.00023816778784387096
4,0.077936,0.983607,0.278941,0.944828,0.973333,0.924051,0.948052,0.0001963525491562421
5,0.031939,0.987705,0.260091,0.931034,0.905882,0.974684,0.939024,0.00015
6,0.024566,0.991803,0.278058,0.924138,0.959459,0.898734,0.928105,0.0001036474508437579
7,0.007736,1.0,0.293533,0.931034,0.972603,0.898734,0.934211,6.183221215612905e-05
8,0.01722,0.991803,0.297078,0.931034,0.96,0.911392,0.935065,2.86474508437579e-05
9,0.011776,0.995902,0.292885,0.924138,0.972222,0.886076,0.927152,7.341522555726971e-06
1,0.31343,0.852459,0.252235,0.910345,0.971429,0.860759,0.912752,0.00029265847744427303
2,0.100203,0.97541,0.269095,0.931034,0.948052,0.924051,0.935897,0.0002713525491562421
3,0.036074,0.987705,0.377923,0.910345,0.923077,0.911392,0.917197,0.00023816778784387096
4,0.077936,0.983607,0.278941,0.944828,0.973333,0.924051,0.948052,0.0001963525491562421
5,0.031939,0.987705,0.260091,0.931034,0.905882,0.974684,0.939024,0.00015
6,0.024566,0.991803,0.278058,0.924138,0.959459,0.898734,0.928105,0.0001036474508437579
7,0.007736,1.0,0.293533,0.931034,0.972603,0.898734,0.934211,6.183221215612905e-05
8,0.01722,0.991803,0.297078,0.931034,0.96,0.911392,0.935065,2.86474508437579e-05
9,0.011776,0.995902,0.292885,0.924138,0.972222,0.886076,0.927152,7.341522555726971e-06
1,0.31343,0.852459,0.252235,0.910345,0.971429,0.860759,0.912752,0.00029265847744427303
2,0.100203,0.97541,0.269095,0.931034,0.948052,0.924051,0.935897,0.0002713525491562421
3,0.036074,0.987705,0.377923,0.910345,0.923077,0.911392,0.917197,0.00023816778784387096
4,0.077936,0.983607,0.278941,0.944828,0.973333,0.924051,0.948052,0.0001963525491562421
5,0.031939,0.987705,0.260091,0.931034,0.905882,0.974684,0.939024,0.00015
6,0.024566,0.991803,0.278058,0.924138,0.959459,0.898734,0.928105,0.0001036474508437579
7,0.007736,1.0,0.293533,0.931034,0.972603,0.898734,0.934211,6.183221215612905e-05
8,0.01722,0.991803,0.297078,0.931034,0.96,0.911392,0.935065,2.86474508437579e-05
9,0.011776,0.995902,0.292885,0.924138,0.972222,0.886076,0.927152,7.341522555726971e-06
1,0.307492,0.864754,0.247814,0.924138,0.925,0.936709,0.930818,0.00029265847744427303
2,0.120054,0.963115,0.422235,0.896552,0.890244,0.924051,0.906832,0.0002713525491562421
3,0.065556,0.979508,0.560765,0.875862,0.858824,0.924051,0.890244,0.00023816778784387096
4,0.066042,0.983607,0.371474,0.903448,0.911392,0.911392,0.911392,0.0001963525491562421
5,0.031902,0.987705,0.338812,0.917241,0.924051,0.924051,0.924051,0.00015
6,0.054891,0.979508,0.374142,0.896552,0.957143,0.848101,0.899329,0.0001036474508437579
1,0.307492,0.864754,0.247814,0.924138,0.925,0.936709,0.930818,0.00029265847744427303
2,0.120054,0.963115,0.422235,0.896552,0.890244,0.924051,0.906832,0.0002713525491562421
3,0.065556,0.979508,0.560765,0.875862,0.858824,0.924051,0.890244,0.00023816778784387096
4,0.066042,0.983607,0.371474,0.903448,0.911392,0.911392,0.911392,0.0001963525491562421
5,0.031902,0.987705,0.338812,0.917241,0.924051,0.924051,0.924051,0.00015
6,0.054891,0.979508,0.374142,0.896552,0.957143,0.848101,0.899329,0.0001036474508437579
1,0.307492,0.864754,0.247814,0.924138,0.925,0.936709,0.930818,0.00029265847744427303
2,0.120054,0.963115,0.422235,0.896552,0.890244,0.924051,0.906832,0.0002713525491562421
3,0.065556,0.979508,0.560765,0.875862,0.858824,0.924051,0.890244,0.00023816778784387096
4,0.066042,0.983607,0.371474,0.903448,0.911392,0.911392,0.911392,0.0001963525491562421
5,0.031902,0.987705,0.338812,0.917241,0.924051,0.924051,0.924051,0.00015
6,0.054891,0.979508,0.374142,0.896552,0.957143,0.848101,0.899329,0.0001036474508437579
1,0.307492,0.864754,0.247814,0.924138,0.925,0.936709,0.930818,0.00029265847744427303
2,0.120054,0.963115,0.422235,0.896552,0.890244,0.924051,0.906832,0.0002713525491562421
3,0.065556,0.979508,0.560765,0.875862,0.858824,0.924051,0.890244,0.00023816778784387096
4,0.066042,0.983607,0.371474,0.903448,0.911392,0.911392,0.911392,0.0001963525491562421
5,0.031902,0.987705,0.338812,0.917241,0.924051,0.924051,0.924051,0.00015
6,0.054891,0.979508,0.374142,0.896552,0.957143,0.848101,0.899329,0.0001036474508437579
